   207	20-14-0-80-47-9 sp002779555
   208	20-14-0-80-50-8 sp002779345
   209	20-14-all-45-10 sp002772325
   210	20-14-all-45-10 sp009619075
   211	20-14-all-54-14 sp002772205
   212	20-14-all-54-14 sp016183535
   213	2-01-FULL-33-17 sp001786995
   214	2-01-FULL-36-15 sp001782015
   215	2-01-FULL-37-20 sp001784115
   216	2-01-FULL-38-13 sp001782165
   217	2-01-FULL-38-21 sp001782085
   218	2-01-FULL-38-21 sp001782475
   219	2-01-FULL-38-26 sp001782075
   220	2-01-FULL-39-10-A sp001782515
   221	2-01-FULL-39-10-A sp016186625
   222	2-01-FULL-39-10-A sp018061075
   223	2-01-FULL-39-10 sp001793015
   224	2-01-FULL-39-12 sp001787455
   225	2-01-FULL-39-13 sp001772665
   226	2-01-FULL-39-19 sp001789725
   227	2-01-FULL-39-21 sp001792305
   228	2-01-FULL-39-21 sp001792535
   229	2-01-FULL-39-24 sp001789445
   230	2-01-FULL-39-28 sp001794015
   231	2-01-FULL-39-28 sp001794635
   232	2-01-FULL-39-28 sp001795735
   233	2-01-FULL-39-33 sp001817505
   234	2-01-FULL-39-33 sp002773855
   235	2-01-FULL-40-13 sp001788015
   236	2-01-FULL-40-13 sp001789635
   237	2-01-FULL-40-13 sp001789645
   238	2-01-FULL-40-13 sp001789695
   239	2-01-FULL-40-13 sp001789745
   240	2-01-FULL-40-13 sp016206365
   241	2-01-FULL-40-14 sp001788215
   242	2-01-FULL-40-24 sp001776975
   243	2-01-FULL-40-39 sp001820095
   244	2-01-FULL-40-42 sp001789965
   245	2-01-FULL-41-11 sp001776335
   246	2-01-FULL-41-12 sp001805765
   247	2-01-FULL-41-14 sp001767855
   248	2-01-FULL-41-18-A sp001776475
   249	2-01-FULL-41-18 sp001772615
   250	2-01-FULL-41-21 sp001794025
   251	2-01-FULL-41-21 sp003151795
   252	2-01-FULL-41-21 sp018062285
   253	2-01-FULL-41-21 sp903830625
   254	2-01-FULL-41-22 sp001789805
   255	2-01-FULL-41-26 sp001794055
   256	2-01-FULL-41-26 sp001794125
   257	2-01-FULL-42-13 sp001772625
   258	2-01-FULL-42-15 sp001784055
   259	2-01-FULL-42-20 sp001785965
   260	2-01-FULL-43-14 sp001816835
   261	2-01-FULL-43-22 sp001794435
   262	2-01-FULL-43-22 sp001795615
   263	2-01-FULL-43-22 sp016185505
   264	2-01-FULL-43-38 sp000997105
   265	2-01-FULL-44-10 sp001792465
